incident_number,station_code,assignment_role,dispatched_at,cleared_at
INC-20230802-000062,STA-016,Rescue Squad,2023-08-02T08:06:44+00:00,2023-08-02T14:43:44+00:00
INC-20230802-000062,STA-030,Rescue Squad,2023-08-02T08:04:44+00:00,2023-08-02T14:48:44+00:00
INC-20251109-000063,STA-095,Battalion Chief,2025-11-09T20:59:41+00:00,2025-11-10T03:47:41+00:00
INC-20251109-000063,STA-078,Hazmat Unit,2025-11-09T20:57:41+00:00,2025-11-10T04:07:41+00:00
INC-20241205-000064,STA-064,Hazmat Unit,2024-12-05T04:50:45+00:00,2024-12-05T10:16:45+00:00
INC-20251030-000065,STA-053,Primary Engine,2025-10-30T17:45:48+00:00,2025-10-30T23:45:48+00:00
INC-20251030-000065,STA-068,Rescue Squad,2025-10-30T17:44:48+00:00,2025-10-30T23:10:48+00:00
INC-20240605-000066,STA-097,Rescue Squad,2024-06-05T10:52:46+00:00,2024-06-05T16:09:46+00:00
INC-20240605-000066,STA-083,Primary Engine,2024-06-05T10:53:46+00:00,2024-06-05T16:04:46+00:00
INC-20240605-000066,STA-010,Water Tender,2024-06-05T10:53:46+00:00,2024-06-05T16:10:46+00:00
INC-20250130-000067,STA-029,Primary Engine,2025-01-30T05:33:15+00:00,2025-01-30T12:15:15+00:00
INC-20250130-000067,STA-022,Hazmat Unit,2025-01-30T05:36:15+00:00,2025-01-30T12:12:15+00:00
INC-20251017-000068,STA-099,Ladder Truck,2025-10-17T19:10:54+00:00,2025-10-17T22:24:54+00:00
INC-20251017-000068,STA-008,Battalion Chief,2025-10-17T19:09:54+00:00,2025-10-17T22:03:54+00:00
INC-20250415-000069,STA-100,Primary Engine,2025-04-15T13:43:26+00:00,2025-04-15T17:00:26+00:00
INC-20250415-000069,STA-037,Rescue Squad,2025-04-15T13:39:26+00:00,2025-04-15T16:40:26+00:00
INC-20231021-000070,STA-018,Rescue Squad,2023-10-21T12:23:23+00:00,2023-10-21T19:59:23+00:00
INC-20231021-000070,STA-016,Water Tender,2023-10-21T12:24:23+00:00,2023-10-21T20:04:23+00:00
INC-20231021-000070,STA-052,Hazmat Unit,2023-10-21T12:23:23+00:00,2023-10-21T19:43:23+00:00
INC-20230822-000071,STA-080,Battalion Chief,2023-08-22T02:16:11+00:00,2023-08-22T04:13:11+00:00
INC-20241203-000072,STA-002,Ladder Truck,2024-12-04T00:05:09+00:00,2024-12-04T01:14:09+00:00
INC-20241203-000072,STA-030,Battalion Chief,2024-12-04T00:05:09+00:00,2024-12-04T01:21:09+00:00
INC-20241203-000072,STA-015,Battalion Chief,2024-12-04T00:03:09+00:00,2024-12-04T01:17:09+00:00
INC-20240416-000073,STA-004,Hazmat Unit,2024-04-16T21:01:15+00:00,2024-04-17T03:40:15+00:00
INC-20250811-000074,STA-058,Battalion Chief,2025-08-11T08:54:47+00:00,2025-08-11T10:05:47+00:00
INC-20250811-000074,STA-066,Ladder Truck,2025-08-11T08:54:47+00:00,2025-08-11T10:17:47+00:00
INC-20241229-000075,STA-041,Rescue Squad,2024-12-29T14:26:46+00:00,2024-12-29T18:37:46+00:00
INC-20241229-000075,STA-066,Primary Engine,2024-12-29T14:27:46+00:00,2024-12-29T18:26:46+00:00
INC-20250619-000076,STA-055,Rescue Squad,2025-06-19T01:34:04+00:00,2025-06-19T04:31:04+00:00
INC-20230626-000077,STA-028,Hazmat Unit,2023-06-26T16:55:08+00:00,2023-06-26T21:24:08+00:00
INC-20230626-000077,STA-011,Primary Engine,2023-06-26T16:58:08+00:00,2023-06-26T21:19:08+00:00
INC-20230626-000077,STA-055,Rescue Squad,2023-06-26T16:59:08+00:00,2023-06-26T21:22:08+00:00
INC-20250719-000078,STA-072,Battalion Chief,2025-07-19T22:24:17+00:00,2025-07-20T04:10:17+00:00
INC-20250719-000078,STA-076,Hazmat Unit,2025-07-19T22:25:17+00:00,2025-07-20T04:02:17+00:00
INC-20250719-000078,STA-063,Rescue Squad,2025-07-19T22:26:17+00:00,2025-07-20T04:05:17+00:00
INC-20250121-000079,STA-045,Rescue Squad,2025-01-21T16:28:54+00:00,2025-01-21T20:06:54+00:00
INC-20250121-000079,STA-003,Rescue Squad,2025-01-21T16:29:54+00:00,2025-01-21T20:16:54+00:00
INC-20250615-000080,STA-060,Rescue Squad,2025-06-15T02:27:11+00:00,2025-06-15T05:06:11+00:00
INC-20250817-000081,STA-054,Hazmat Unit,2025-08-17T06:29:43+00:00,2025-08-17T07:50:43+00:00
INC-20250817-000081,STA-043,Primary Engine,2025-08-17T06:26:43+00:00,2025-08-17T07:40:43+00:00
INC-20240510-000082,STA-090,Water Tender,2024-05-10T01:41:43+00:00,2024-05-10T04:53:43+00:00
INC-20240510-000082,STA-096,Primary Engine,2024-05-10T01:37:43+00:00,2024-05-10T04:38:43+00:00
INC-20240510-000082,STA-067,Battalion Chief,2024-05-10T01:41:43+00:00,2024-05-10T04:59:43+00:00
INC-20250503-000083,STA-099,Ladder Truck,2025-05-03T13:12:48+00:00,2025-05-03T19:21:48+00:00
INC-20230509-000084,STA-080,Battalion Chief,2023-05-09T04:04:34+00:00,2023-05-09T10:04:34+00:00
INC-20230509-000084,STA-023,Battalion Chief,2023-05-09T04:06:34+00:00,2023-05-09T10:14:34+00:00
INC-20250227-000085,STA-003,Ladder Truck,2025-02-27T20:04:22+00:00,2025-02-27T21:44:22+00:00
INC-20250227-000085,STA-002,Ladder Truck,2025-02-27T20:00:22+00:00,2025-02-27T21:39:22+00:00
INC-20250227-000085,STA-080,Battalion Chief,2025-02-27T20:03:22+00:00,2025-02-27T21:55:22+00:00
INC-20240905-000086,STA-074,Rescue Squad,2024-09-05T02:55:29+00:00,2024-09-05T08:32:29+00:00
INC-20240905-000086,STA-082,Primary Engine,2024-09-05T02:54:29+00:00,2024-09-05T08:28:29+00:00
INC-20240905-000086,STA-007,Primary Engine,2024-09-05T02:54:29+00:00,2024-09-05T08:09:29+00:00
INC-20250124-000087,STA-047,Rescue Squad,2025-01-24T19:42:03+00:00,2025-01-25T00:42:03+00:00
INC-20250124-000087,STA-035,Primary Engine,2025-01-24T19:40:03+00:00,2025-01-25T00:25:03+00:00
INC-20251117-000088,STA-075,Water Tender,2025-11-17T12:50:13+00:00,2025-11-17T13:25:13+00:00
INC-20251117-000088,STA-022,Rescue Squad,2025-11-17T12:50:13+00:00,2025-11-17T12:51:13+00:00
INC-20230103-000089,STA-090,Ladder Truck,2023-01-03T01:50:44+00:00,2023-01-03T06:26:44+00:00
INC-20251107-000090,STA-083,Water Tender,2025-11-07T17:51:40+00:00,2025-11-08T02:15:40+00:00
INC-20241210-000091,STA-087,Ladder Truck,2024-12-10T08:41:14+00:00,2024-12-10T11:26:14+00:00
INC-20241210-000091,STA-095,Battalion Chief,2024-12-10T08:42:14+00:00,2024-12-10T11:29:14+00:00
INC-20241210-000091,STA-078,Water Tender,2024-12-10T08:38:14+00:00,2024-12-10T11:31:14+00:00
INC-20250126-000092,STA-065,Water Tender,2025-01-26T00:46:46+00:00,2025-01-26T07:43:46+00:00
INC-20250126-000092,STA-050,Battalion Chief,2025-01-26T00:46:46+00:00,2025-01-26T08:10:46+00:00
INC-20241220-000093,STA-085,Battalion Chief,2024-12-20T09:31:37+00:00,2024-12-20T14:14:37+00:00
INC-20241220-000093,STA-008,Ladder Truck,2024-12-20T09:29:37+00:00,2024-12-20T14:43:37+00:00
INC-20241220-000093,STA-081,Primary Engine,2024-12-20T09:32:37+00:00,2024-12-20T14:40:37+00:00
INC-20251017-000094,STA-004,Rescue Squad,2025-10-17T07:02:21+00:00,2025-10-17T09:20:21+00:00
INC-20250913-000095,STA-060,Primary Engine,2025-09-13T18:21:41+00:00,2025-09-13T20:04:41+00:00
INC-20250913-000095,STA-037,Battalion Chief,2025-09-13T18:21:41+00:00,2025-09-13T19:43:41+00:00
INC-20250913-000095,STA-044,Primary Engine,2025-09-13T18:20:41+00:00,2025-09-13T19:37:41+00:00
INC-20240808-000096,STA-024,Hazmat Unit,2024-08-08T05:18:26+00:00,2024-08-08T09:18:26+00:00
INC-20230207-000097,STA-018,Primary Engine,2023-02-07T08:28:12+00:00,2023-02-07T13:48:12+00:00
INC-20230207-000097,STA-013,Hazmat Unit,2023-02-07T08:30:12+00:00,2023-02-07T13:35:12+00:00
INC-20230207-000097,STA-087,Rescue Squad,2023-02-07T08:29:12+00:00,2023-02-07T14:08:12+00:00
INC-20250918-000098,STA-043,Primary Engine,2025-09-18T17:09:06+00:00,2025-09-19T01:00:06+00:00
INC-20250918-000098,STA-025,Primary Engine,2025-09-18T17:06:06+00:00,2025-09-19T00:53:06+00:00
INC-20250918-000098,STA-075,Hazmat Unit,2025-09-18T17:08:06+00:00,2025-09-19T00:56:06+00:00
INC-20250212-000099,STA-084,Hazmat Unit,2025-02-12T02:27:00+00:00,2025-02-12T09:05:00+00:00
INC-20241205-000100,STA-086,Battalion Chief,2024-12-05T18:57:17+00:00,2024-12-06T02:59:17+00:00
INC-20250106-000101,STA-021,Ladder Truck,2025-01-06T18:37:52+00:00,2025-01-06T21:38:52+00:00
INC-20250221-000102,STA-058,Battalion Chief,2025-02-21T17:40:30+00:00,2025-02-21T23:36:30+00:00
INC-20250221-000102,STA-071,Rescue Squad,2025-02-21T17:41:30+00:00,2025-02-21T23:36:30+00:00
INC-20241207-000103,STA-044,Battalion Chief,2024-12-07T07:15:45+00:00,2024-12-07T09:37:45+00:00
INC-20230905-000104,STA-002,Hazmat Unit,2023-09-05T11:50:54+00:00,2023-09-05T20:01:54+00:00
INC-20230905-000104,STA-012,Hazmat Unit,2023-09-05T11:50:54+00:00,2023-09-05T19:42:54+00:00
INC-20231116-000105,STA-092,Ladder Truck,2023-11-16T09:09:33+00:00,2023-11-16T13:53:33+00:00
INC-20240212-000106,STA-048,Battalion Chief,2024-02-12T09:48:44+00:00,2024-02-12T11:33:44+00:00
INC-20240212-000106,STA-020,Ladder Truck,2024-02-12T09:48:44+00:00,2024-02-12T11:43:44+00:00
INC-20240212-000106,STA-023,Rescue Squad,2024-02-12T09:52:44+00:00,2024-02-12T11:33:44+00:00
INC-20241214-000107,STA-097,Ladder Truck,2024-12-14T02:29:46+00:00,2024-12-14T05:12:46+00:00
INC-20241204-000108,STA-064,Hazmat Unit,2024-12-04T18:26:43+00:00,2024-12-05T02:55:43+00:00
INC-20241204-000108,STA-005,Primary Engine,2024-12-04T18:27:43+00:00,2024-12-05T03:02:43+00:00
INC-20241204-000108,STA-059,Rescue Squad,2024-12-04T18:28:43+00:00,2024-12-05T02:37:43+00:00
INC-20240804-000109,STA-036,Water Tender,2024-08-04T15:14:49+00:00,2024-08-04T18:19:49+00:00
INC-20240804-000109,STA-018,Hazmat Unit,2024-08-04T15:15:49+00:00,2024-08-04T18:17:49+00:00
INC-20250804-000110,STA-070,Rescue Squad,2025-08-04T02:23:13+00:00,2025-08-04T08:53:13+00:00
INC-20250804-000110,STA-053,Ladder Truck,2025-08-04T02:22:13+00:00,2025-08-04T09:14:13+00:00
INC-20250402-000111,STA-060,Rescue Squad,2025-04-02T14:02:53+00:00,2025-04-02T16:47:53+00:00
INC-20240114-000112,STA-098,Rescue Squad,2024-01-14T05:52:27+00:00,2024-01-14T13:09:27+00:00
INC-20251025-000113,STA-059,Rescue Squad,2025-10-25T18:51:35+00:00,2025-10-25T21:17:35+00:00
INC-20251025-000113,STA-061,Primary Engine,2025-10-25T18:47:35+00:00,2025-10-25T21:12:35+00:00
INC-20251025-000113,STA-042,Rescue Squad,2025-10-25T18:48:35+00:00,2025-10-25T21:01:35+00:00
INC-20251018-000114,STA-100,Primary Engine,2025-10-18T17:14:21+00:00,2025-10-18T18:58:21+00:00
INC-20230829-000115,STA-075,Battalion Chief,2023-08-29T22:34:42+00:00,2023-08-30T06:06:42+00:00
INC-20240222-000116,STA-051,Hazmat Unit,2024-02-23T00:06:57+00:00,2024-02-23T08:46:57+00:00
INC-20240222-000116,STA-021,Primary Engine,2024-02-23T00:03:57+00:00,2024-02-23T08:12:57+00:00
INC-20240222-000116,STA-094,Battalion Chief,2024-02-23T00:03:57+00:00,2024-02-23T08:17:57+00:00
INC-20250602-000117,STA-048,Rescue Squad,2025-06-02T17:27:29+00:00,2025-06-02T20:14:29+00:00
INC-20250602-000117,STA-049,Primary Engine,2025-06-02T17:29:29+00:00,2025-06-02T20:07:29+00:00
INC-20250926-000118,STA-075,Primary Engine,2025-09-26T03:49:07+00:00,2025-09-26T06:49:07+00:00
INC-20250926-000118,STA-015,Hazmat Unit,2025-09-26T03:50:07+00:00,2025-09-26T06:39:07+00:00
INC-20250926-000118,STA-053,Primary Engine,2025-09-26T03:53:07+00:00,2025-09-26T06:32:07+00:00
INC-20241013-000119,STA-081,Primary Engine,2024-10-13T11:48:25+00:00,2024-10-13T16:32:25+00:00
INC-20241013-000119,STA-088,Hazmat Unit,2024-10-13T11:52:25+00:00,2024-10-13T16:36:25+00:00
INC-20241013-000119,STA-100,Battalion Chief,2024-10-13T11:48:25+00:00,2024-10-13T16:29:25+00:00
INC-20241225-000120,STA-080,Rescue Squad,2024-12-25T21:08:03+00:00,2024-12-25T23:39:03+00:00
INC-20241225-000120,STA-062,Ladder Truck,2024-12-25T21:10:03+00:00,2024-12-25T23:41:03+00:00
INC-20241225-000120,STA-049,Primary Engine,2024-12-25T21:10:03+00:00,2024-12-25T23:28:03+00:00
INC-20240101-000121,STA-042,Water Tender,2024-01-01T13:11:25+00:00,2024-01-01T16:41:25+00:00
INC-20240101-000121,STA-094,Water Tender,2024-01-01T13:13:25+00:00,2024-01-01T16:50:25+00:00
INC-20240101-000121,STA-047,Ladder Truck,2024-01-01T13:10:25+00:00,2024-01-01T16:49:25+00:00
INC-20230101-000122,STA-041,Hazmat Unit,2023-01-01T21:29:27+00:00,2023-01-02T01:58:27+00:00
INC-20230101-000122,STA-082,Hazmat Unit,2023-01-01T21:31:27+00:00,2023-01-02T01:55:27+00:00
INC-20230101-000122,STA-055,Water Tender,2023-01-01T21:29:27+00:00,2023-01-02T01:33:27+00:00
INC-20240523-000123,STA-037,Rescue Squad,2024-05-23T02:17:42+00:00,2024-05-23T08:01:42+00:00
INC-20240409-000124,STA-006,Hazmat Unit,2024-04-09T17:47:51+00:00,2024-04-09T22:42:51+00:00
INC-20240409-000124,STA-086,Ladder Truck,2024-04-09T17:46:51+00:00,2024-04-09T22:44:51+00:00
INC-20250616-000125,STA-060,Rescue Squad,2025-06-16T23:59:48+00:00,2025-06-17T07:04:48+00:00
